App;Architecture;Scenario;Interval_ms;Run;Avg_Latency_ms;Min_Latency_ms;Max_Latency_ms;P50_Latency_ms;P95_Latency_ms;P99_Latency_ms;Latency_Samples;Total_Updates;Measured_Duration_ms;CPU_Modal_percent;CPU_Peak_percent;RAM_Peak_MB;Total_Frames_Rendered;Janky_Frames_Count;Janky_Frames_Percent;Frame_P50_ms;Frame_P90_ms;Frame_P95_ms;Frame_P99_ms;Missed_Vsync_Count;Slow_UI_Thread_Count;Slow_Draw_Commands_Count
RN;New Architecture;Real-time updates;100;9;38,88;20,62;52,14;38,33;46,77;49,18;600;601;59995;8;9;145;730;386;52,88;20;26;27;30;0;384;84
RN;New Architecture;Real-time updates;100;10;39,05;26,48;55,36;38,42;47,02;50,31;600;601;59993;7;8;145,7;731;397;54,31;20;26;27;30;0;395;98
;;;;;;;;;;;;;;;;;;;;;;;;;;
RN;New Architecture;Real-time updates;200;1;52,61;23,31;67,14;54,35;63,75;66,64;300;301;60010;5;6;146,1;382;339;88,74;29;36;42;46;0;331;296
RN;New Architecture;Real-time updates;200;2;56,06;29,8;67,77;54,78;64,78;66,89;300;301;60001;5;7;145,7;382;349;91,36;32;48;48;48;0;349;332
RN;New Architecture;Real-time updates;200;3;53,06;27,96;66,4;54,28;63,91;65,77;300;301;60006;5;6;144,9;381;341;89,5;30;44;46;48;0;338;302
RN;New Architecture;Real-time updates;200;4;52,86;23,19;67,1;54,2;63,87;65,4;300;301;59997;5;6;146,7;380;337;88,68;28;36;40;44;0;328;281
RN;New Architecture;Real-time updates;200;5;51,64;22,85;67,76;54,23;64,5;66,16;300;301;59999;5;5;145,6;382;335;87,7;28;38;42;44;0;325;273
RN;New Architecture;Real-time updates;200;6;53,44;24,12;67,32;54,39;64,08;66,21;300;301;60004;5;6;145,8;381;340;89,24;29;40;42;46;0;333;294
RN;New Architecture;Real-time updates;200;7;52,97;23,74;66,91;54,18;63,82;65,88;300;301;60008;5;6;146,3;382;337;88,22;28;38;42;44;0;326;279
